story,word,pos,lemma
story1.txt,a,DET,a
story1.txt,stately,ADJ,stately
story1.txt,Raven,PROPN,Raven
story1.txt,of,ADP,of
story1.txt,the,DET,the
story1.txt,saintly,ADJ,saintly
story1.txt,days,NOUN,day
story1.txt,of,ADP,of
story1.txt,yore,NOUN,yore
story1.txt,;,PUNCT,;
story1.txt,"

",SPACE,"

"
story1.txt,Not,PART,not
story1.txt,the,DET,the
story1.txt,least,ADJ,least
story1.txt,obeisance,NOUN,obeisance
story1.txt,made,VERB,make
story1.txt,he,PRON,he
story1.txt,;,PUNCT,;
story1.txt,not,PART,not
story1.txt,a,DET,a
story1.txt,minute,NOUN,minute
story1.txt,stopped,VERB,stop
story1.txt,or,CCONJ,or
story1.txt,stayed,VERB,stay
story1.txt,he,PRON,he
story1.txt,;,PUNCT,;
story1.txt,"

",SPACE,"

"
story1.txt,But,CCONJ,but
story1.txt,",",PUNCT,","
story1.txt,with,ADP,with
story1.txt,mien,NOUN,mien
story1.txt,of,ADP,of
story1.txt,lord,PROPN,lord
story1.txt,or,CCONJ,or
story1.txt,lady,NOUN,lady
story1.txt,",",PUNCT,","
story1.txt,perched,VERB,perch
story1.txt,above,ADP,above
story1.txt,my,PRON,my
story1.txt,chamber,NOUN,chamber
story1.txt,door,NOUN,door
story1.txt,—,PUNCT,—
story1.txt,"

",SPACE,"

"
story1.txt,Perched,VERB,perch
story1.txt,upon,SCONJ,upon
story1.txt,a,DET,a
story1.txt,bust,NOUN,bust
story1.txt,of,ADP,of
story1.txt,Pallas,PROPN,Pallas
story1.txt,just,ADV,just
story1.txt,above,ADP,above
story1.txt,my,PRON,my
story1.txt,chamber,NOUN,chamber
story1.txt,door,NOUN,door
story1.txt,—,PUNCT,—
story1.txt,"

",SPACE,"

"
story1.txt,Perched,VERB,perch
story1.txt,",",PUNCT,","
story1.txt,and,CCONJ,and
story1.txt,sat,VERB,sit
story1.txt,",",PUNCT,","
story1.txt,and,CCONJ,and
story1.txt,nothing,PRON,nothing
story1.txt,more,ADJ,more
story1.txt,.,PUNCT,.
story1.txt,"



",SPACE,"



"
story1.txt,Then,ADV,then
story1.txt,this,DET,this
story1.txt,ebony,NOUN,ebony
story1.txt,bird,NOUN,bird
story1.txt,beguiling,VERB,beguile
story1.txt,my,PRON,my
story1.txt,sad,ADJ,sad
story1.txt,fancy,NOUN,fancy
story1.txt,into,ADP,into
story1.txt,smiling,VERB,smile
story1.txt,",",PUNCT,","
story1.txt,"

",SPACE,"

"
story1.txt,By,ADP,by
story1.txt,the,DET,the
story1.txt,grave,NOUN,grave
story1.txt,and,CCONJ,and
story1.txt,stern,ADJ,stern
story1.txt,decorum,NOUN,decorum
story1.txt,of,ADP,of
story1.txt,the,DET,the
story1.txt,countenance,NOUN,countenance
story1.txt,it,PRON,it
story1.txt,wore,VERB,wear
story1.txt,",",PUNCT,","
story1.txt,"

",SPACE,"

"
story1.txt,“,PUNCT,""""
story1.txt,Though,SCONJ,though
story1.txt,thy,PRON,thy
story1.txt,crest,NOUN,crest
story1.txt,be,AUX,be
story1.txt,shorn,VERB,shorn
story1.txt,and,CCONJ,and
story1.txt,shaven,ADJ,shaven
story1.txt,",",PUNCT,","
story1.txt,thou,NOUN,thou
story1.txt,",",PUNCT,","
story1.txt,”,PUNCT,""""
story1.txt,I,PRON,I
story1.txt,said,VERB,say
story1.txt,",",PUNCT,","
story1.txt,“,PUNCT,""""
story1.txt,art,NOUN,art
story1.txt,sure,INTJ,sure
story1.txt,no,DET,no
story1.txt,craven,ADJ,craven
story1.txt,",",PUNCT,","
story1.txt,"

",SPACE,"

"
story1.txt,Ghastly,ADV,ghastly
story1.txt,grim,ADJ,grim
story1.txt,and,CCONJ,and
story1.txt,ancient,ADJ,ancient
story1.txt,Raven,PROPN,Raven
story1.txt,wandering,VERB,wander
story1.txt,from,ADP,from
story1.txt,the,DET,the
story1.txt,Nightly,PROPN,Nightly
story1.txt,shore,NOUN,shore
story1.txt,—,PUNCT,—
story1.txt,"

",SPACE,"

"
story1.txt,Tell,VERB,tell
story1.txt,me,PRON,I
story1.txt,what,PRON,what
story1.txt,thy,PRON,thy
story1.txt,lordly,ADJ,lordly
story1.txt,name,NOUN,name
story1.txt,is,AUX,be
story1.txt,on,ADP,on
story1.txt,the,DET,the
story1.txt,Night,PROPN,Night
story1.txt,’s,PART,’s
story1.txt,Plutonian,PROPN,Plutonian
