story,word,pos,lemma
story5.txt,spite,NOUN,spite
story5.txt,of,ADP,of
story5.txt,his,PRON,his
story5.txt,bowed,ADJ,bowed
story5.txt,age,NOUN,age
story5.txt,",",PUNCT,","
story5.txt,he,PRON,he
story5.txt,was,AUX,be
story5.txt,still,ADV,still
story5.txt,full,ADJ,full
story5.txt,of,ADP,of
story5.txt,the,DET,the
story5.txt,bloom,NOUN,bloom
story5.txt,of,ADP,of
story5.txt,strength,NOUN,strength
story5.txt,and,CCONJ,and
story5.txt,radiant,ADJ,radiant
story5.txt,hopes,NOUN,hope
story5.txt,.,PUNCT,.
story5.txt,An,DET,an
story5.txt,irremediable,ADJ,irremediable
story5.txt,loss,NOUN,loss
story5.txt,!,PUNCT,!
story5.txt,Who,PRON,who
story5.txt,will,AUX,will
story5.txt,fill,VERB,fill
story5.txt,his,PRON,his
story5.txt,place,NOUN,place
story5.txt,for,ADP,for
story5.txt,us,PRON,we
story5.txt,?,PUNCT,?
story5.txt,Good,ADJ,good
story5.txt,government,NOUN,government
story5.txt,servants,NOUN,servant
story5.txt,we,PRON,we
story5.txt,have,VERB,have
story5.txt,many,ADJ,many
story5.txt,",",PUNCT,","
story5.txt,but,CCONJ,but
story5.txt,Prokofy,PROPN,Prokofy
story5.txt,Osipitch,PROPN,Osipitch
story5.txt,was,AUX,be
story5.txt,unique,ADJ,unique
story5.txt,.,PUNCT,.
story5.txt,To,ADP,to
story5.txt,the,DET,the
story5.txt,depths,NOUN,depth
story5.txt,of,ADP,of
story5.txt,his,PRON,his
story5.txt,soul,NOUN,soul
story5.txt,he,PRON,he
story5.txt,was,AUX,be
story5.txt,devoted,ADJ,devoted
story5.txt,to,ADP,to
story5.txt,his,PRON,his
story5.txt,honest,ADJ,honest
story5.txt,duty,NOUN,duty
story5.txt,;,PUNCT,;
story5.txt,he,PRON,he
story5.txt,did,AUX,do
story5.txt,not,PART,not
story5.txt,spare,VERB,spare
story5.txt,his,PRON,his
story5.txt,strength,NOUN,strength
story5.txt,but,CCONJ,but
story5.txt,worked,VERB,work
story5.txt,late,ADV,late
story5.txt,at,ADP,at
story5.txt,night,NOUN,night
story5.txt,",",PUNCT,","
story5.txt,and,CCONJ,and
story5.txt,was,AUX,be
story5.txt,disinterested,VERB,disintereste
story5.txt,",",PUNCT,","
story5.txt,impervious,ADJ,impervious
story5.txt,to,ADP,to
story5.txt,bribes,NOUN,bribe
story5.txt,.,PUNCT,.
story5.txt,.,PUNCT,.
story5.txt,.,PUNCT,.
story5.txt,.,PUNCT,.
story5.txt,How,SCONJ,how
story5.txt,he,PRON,he
story5.txt,despised,VERB,despise
story5.txt,those,PRON,those
story5.txt,who,PRON,who
story5.txt,to,ADP,to
story5.txt,the,DET,the
story5.txt,detriment,NOUN,detriment
story5.txt,of,ADP,of
story5.txt,the,DET,the
story5.txt,public,ADJ,public
story5.txt,interest,NOUN,interest
story5.txt,sought,VERB,seek
story5.txt,to,PART,to
story5.txt,corrupt,VERB,corrupt
story5.txt,him,PRON,he
story5.txt,",",PUNCT,","
story5.txt,who,PRON,who
story5.txt,by,ADP,by
story5.txt,the,DET,the
story5.txt,seductive,ADJ,seductive
story5.txt,goods,NOUN,good
story5.txt,of,ADP,of
story5.txt,this,DET,this
story5.txt,life,NOUN,life
story5.txt,strove,ADJ,strove
story5.txt,to,PART,to
story5.txt,draw,VERB,draw
story5.txt,him,PRON,he
story5.txt,to,PART,to
story5.txt,betray,VERB,betray
story5.txt,his,PRON,his
story5.txt,duty,NOUN,duty
story5.txt,!,PUNCT,!
story5.txt,Yes,INTJ,yes
story5.txt,",",PUNCT,","
story5.txt,before,ADP,before
story5.txt,our,PRON,our
story5.txt,eyes,NOUN,eye
story5.txt,Prokofy,PROPN,Prokofy
story5.txt,Osipitch,PROPN,Osipitch
